,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0
4,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,5.0,0.0,2.0,2.0,2.0,0.0,8.0,0.0,2.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0
7,2.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,0.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,4.0
8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
9,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0
10,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0
11,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
12,0.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0
13,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0
14,0.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
16,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0
17,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0
18,0.0,1.0,4.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
19,0.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0
20,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0
21,0.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,3.0,3.0,0.0,4.0,2.0,2.0,0.0,0.0
22,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0
